DATE,DAY,MONTH,QUARTER,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF TRADES
30-Jan-26,Friday,January,Q1,2026,EQ,2005,2038.8,1992.2,2019.2,2020,2020.4,2022.61,2695,1848,1230915,2489656721,52794
29-Jan-26,Thursday,January,Q1,2026,EQ,1999.8,2029.1,1972,1994.7,2016,2019.2,1999.01,2695,1848,1391239,2781103949,52774
28-Jan-26,Wednesday,January,Q1,2026,EQ,1985,2004,1952,1959.5,1995,1994.7,1983.29,2695,1848,2073198,4111749270,64566
27-Jan-26,Tuesday,January,Q1,2026,EQ,1909,1973.9,1893,1864.2,1963,1959.5,1946.17,2695,1848,5449633,10605929779,175711
23-Jan-26,Friday,January,Q1,2026,EQ,2080.5,2082.5,1848,2086.4,1861.8,1864.2,1920.06,2695,1848,7492631,14386285454,229436
22-Jan-26,Thursday,January,Q1,2026,EQ,2055.9,2102.9,2051,2032.2,2088.2,2086.4,2080.73,2695,2004.1,942721,1961548878,39536
21-Jan-26,Wednesday,January,Q1,2026,EQ,2056.5,2068.2,2004.1,2055.1,2038,2032.2,2040.55,2695,2004.1,1354644,2764214776,54963
20-Jan-26,Tuesday,January,Q1,2026,EQ,2134,2139.9,2040,2134.6,2050,2055.1,2088.47,2695,2026.55,1160975,2424665709,53992
19-Jan-26,Monday,January,Q1,2026,EQ,2155,2156.8,2123,2157.3,2129,2134.6,2138.36,2695,2026.55,749495,1602692300,34175
16-Jan-26,Friday,January,Q1,2026,EQ,2162.8,2193.9,2152.1,2153.3,2159,2157.3,2173.47,2695,2026.55,758469,1648508019,35470
14-Jan-26,Wednesday,January,Q1,2026,EQ,2156,2169,2142,2158.5,2152,2153.3,2156.29,2695,2026.55,618139,1332887921,31911
13-Jan-26,Tuesday,January,Q1,2026,EQ,2187.8,2187.8,2141.1,2171.6,2156.5,2158.5,2162.56,2695,2026.55,791556,1711788642,32648
12-Jan-26,Monday,January,Q1,2026,EQ,2156.6,2180,2119,2153.7,2177,2171.6,2150.41,2695,2026.55,1257197,2703491657,53143
09-Jan-26,Friday,January,Q1,2026,EQ,2214.1,2216,2145,2214,2156.6,2153.7,2173.43,2695,2026.55,1570376,3413102409,64331
08-Jan-26,Thursday,January,Q1,2026,EQ,2275,2275.9,2205,2274.1,2209.3,2214,2230.97,2695,2026.55,792800,1768715616,38536
07-Jan-26,Wednesday,January,Q1,2026,EQ,2265,2284,2243,2259.1,2271.9,2274.1,2267.55,2695,2026.55,529451,1200559135,28649
06-Jan-26,Tuesday,January,Q1,2026,EQ,2288.9,2290.4,2248.1,2279.5,2262,2259.1,2266.66,2695,2026.55,698294,1582797672,30388
05-Jan-26,Monday,January,Q1,2026,EQ,2287,2303.9,2274.3,2279.8,2279,2279.5,2285.62,2695,2026.55,696380,1591661792,35281
02-Jan-26,Friday,January,Q1,2026,EQ,2260,2283.7,2259,2260,2278,2279.8,2273.24,2695,2026.55,715242,1625913976,31529
01-Jan-26,Thursday,January,Q1,2026,EQ,2249,2287.4,2241,2239.7,2254.4,2260,2265.77,2695,2026.55,1046220,2370492762,44508
31-Dec-25,Wednesday,December,Q4,2025,EQ,2216.3,2246.4,2216.3,2214.7,2239,2239.7,2234.92,2695,2026.55,779141,1741321327,26919
30-Dec-25,Tuesday,December,Q4,2025,EQ,2204.8,2219,2195,2203.2,2215.8,2214.7,2209.11,2695,2026.55,935026,2065578919,45283
29-Dec-25,Monday,December,Q4,2025,EQ,2232,2238.2,2196,2229.9,2201,2203.2,2214.63,2695,2026.55,690691,1529624288,27113
26-Dec-25,Friday,December,Q4,2025,EQ,2229.3,2250.9,2218,2222.7,2231,2229.9,2235.41,2695,2026.55,566237,1265771289,24388
24-Dec-25,Wednesday,December,Q4,2025,EQ,2250,2258.8,2217.4,2248.8,2218,2222.7,2238,2695,2026.55,825693,1847903493,27346
23-Dec-25,Tuesday,December,Q4,2025,EQ,2272.5,2273.6,2245,2263.5,2246.7,2248.8,2256.97,2695,2026.55,450112,1015891130,23215
22-Dec-25,Monday,December,Q4,2025,EQ,2260,2274,2245.9,2239,2261,2263.5,2262.46,2695,2026.55,599195,1355654772,28721
19-Dec-25,Friday,December,Q4,2025,EQ,2249,2250,2210,2229.3,2243.9,2239,2230.79,2695,2026.55,880005,1963105929,31918
18-Dec-25,Thursday,December,Q4,2025,EQ,2236.4,2245,2211.1,2232.5,2228.2,2229.3,2230.17,2695,2026.55,508238,1133459577,25318
17-Dec-25,Wednesday,December,Q4,2025,EQ,2247.6,2255,2221,2247.9,2232,2232.5,2234.72,2695,2026.55,651509,1455941593,34504
16-Dec-25,Tuesday,December,Q4,2025,EQ,2270,2276.8,2232.1,2278.9,2242,2247.9,2248.44,2695,2026.55,654714,1472087724,34760
15-Dec-25,Monday,December,Q4,2025,EQ,2282.4,2300,2273,2282.4,2280,2278.9,2284.25,2695,2026.55,573027,1308937777,29762
12-Dec-25,Friday,December,Q4,2025,EQ,2277.7,2296.8,2270.2,2277.7,2284,2282.4,2282.72,2695,2026.55,929199,2121097906,31417
11-Dec-25,Thursday,December,Q4,2025,EQ,2225,2293.9,2192.4,2211.6,2270.2,2277.7,2255.58,2695,2026.55,1519832,3428097975,52376
10-Dec-25,Wednesday,December,Q4,2025,EQ,2255.8,2267.5,2204.1,2245.2,2213.9,2211.6,2239.02,2695,2026.55,935149,2093815467,37803
09-Dec-25,Tuesday,December,Q4,2025,EQ,2216.2,2257,2178.4,2216.2,2250,2245.2,2226.67,2695,2026.55,1227728,2733743788,51676
08-Dec-25,Monday,December,Q4,2025,EQ,2265.4,2270.4,2205,2265.4,2212,2216.2,2229.82,2695,2026.55,939764,2095507637,43380
05-Dec-25,Friday,December,Q4,2025,EQ,2217.9,2268.6,2202.9,2217.9,2263,2265.4,2240.36,2695,2026.55,2400781,5378617390,67680
04-Dec-25,Thursday,December,Q4,2025,EQ,2188,2231.7,2183.4,2189.8,2216.8,2217.9,2212.67,2695,2026.55,2522821,5582164677,67347
03-Dec-25,Wednesday,December,Q4,2025,EQ,2240,2245,2172.2,2239.6,2191.6,2189.8,2204.17,2695,2026.55,1643852,3623324402,63240
02-Dec-25,Tuesday,December,Q4,2025,EQ,2255,2267.2,2232.2,2262,2239,2239.6,2244.6,2695,2026.55,1035354,2323954577,46209
01-Dec-25,Monday,December,Q4,2025,EQ,2300,2304,2257,2280.2,2259.9,2262,2277.13,2695,2026.55,1313265,2990480474,42480
28-Nov-25,Friday,November,Q4,2025,EQ,2267.1,2331,2247.8,2255,2282,2280.2,2295.96,2695,2026.55,3037620,6974239042,86014
27-Nov-25,Thursday,November,Q4,2025,EQ,2310,2320.5,2243,2315,2249,2255,2283.07,2695,2026.55,1474038,3365331849,61990
26-Nov-25,Wednesday,November,Q4,2025,EQ,2321.2,2357,2310,2332.9,2313.9,2315,2334.95,2695,2026.55,1026965,2397908624,47392
25-Nov-25,Tuesday,November,Q4,2025,EQ,2400.9,2407.7,2325.3,2399.2,2329.4,2332.9,2364.69,2695,2026.55,2223715,5258403086,69285
24-Nov-25,Monday,November,Q4,2025,EQ,2426.2,2432.3,2393.1,2422.3,2398.9,2399.2,2409.75,2695,2026.55,691419,1666149264,32464
21-Nov-25,Friday,November,Q4,2025,EQ,2450,2456.2,2418,2446.1,2419,2422.3,2433.91,2894.8,2025,547541,1332668219,23006
20-Nov-25,Thursday,November,Q4,2025,EQ,2450.1,2478.9,2440.4,2433.1,2448,2446.1,2456.68,2894.8,2025,1526556,3750263987,49383
19-Nov-25,Wednesday,November,Q4,2025,EQ,2446.5,2449.9,2413.9,2436.8,2431,2433.1,2432.6,2894.8,2025,774785,1884745679,29152
18-Nov-25,Tuesday,November,Q4,2025,EQ,2462,2478.6,2434.3,2462,2439,2436.8,2448.31,2894.8,2025,1245215,3048673912,33053
17-Nov-25,Monday,November,Q4,2025,EQ,2460,2474.9,2421,2516.8,2466.8,2462,2448.66,2894.8,2025,2672697,6544536468,64529
14-Nov-25,Friday,November,Q4,2025,EQ,2500,2553.7,2481,2488.2,2524.1,2516.8,2524.48,2946.8,2025,4496233,11350671384,98231
13-Nov-25,Thursday,November,Q4,2025,EQ,2502,2525,2468.1,2484.5,2488,2488.2,2495.26,2946.8,2025,2706326,6752980014,69562
12-Nov-25,Wednesday,November,Q4,2025,EQ,2384,2517.5,2361,2366.8,2485.2,2484.5,2468.19,2946.8,2025,6685426,16500894715,166963
